record_no,gm_id,nickname,source_database,redistribution,nga_record_id,earthquake_name,year,station_name,mw,mechanism,rrup_km,vs30_mps,scale_factor,D5_75_s,D5_95_s,cms_period_s,return_period_yr
22,gm002,CMS0.2s_225years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),397,Coalinga-04,1983,Coalinga-14th,5.18, Reverse,13.88,286.41,0.7,2.2,7.3,0.2,225
23,gm003,CMS0.2s_225years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),2026,Gilroy,2002,Hollister - South & Pine,4.9, strike slip,22.88,282.14,2.58,7.6,24.1,0.2,225
24,gm004,CMS0.2s_225years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3691,Whittier Narrows-02,1987,Buena Park - La Palma,5.27, Reverse Oblique,25.42,270.96,0.61,1.0,10.4,0.2,225
25,gm005,CMS0.2s_225years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3692,Whittier Narrows-02,1987,Burbank - N Buena Vista,5.27, Reverse Oblique,25.98,320.57,1.25,5.8,11.8,0.2,225
26,gm006,CMS0.2s_225years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3697,Whittier Narrows-02,1987,Carson - Water St,5.27, Reverse Oblique,29.09,160.58,2.76,7.6,12.3,0.2,225
27,gm007,CMS0.2s_225years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3700,Whittier Narrows-02,1987,Covina - W Badillo,5.27, Reverse Oblique,20.06,324.79,2.04,6.9,13.1,0.2,225
28,gm008,CMS0.2s_225years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9560,10410337,2009,Torrance,4.7, strike slip,13.82,319.92,0.79,4.7,11.8,0.2,225
29,gm009,CMS0.2s_225years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9573,10410337,2009,Inglewood,4.7, strike slip,10.58,371.97,2.66,3.2,9.9,0.2,225
30,gm0010,CMS0.2s_225years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10863,14312160,2007,Canoga Park,4.66, Reverse,12.0,285.93,2.6,4.2,13.4,0.2,225
31,gm001,CMS0.2s_475years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),416,Coalinga-06,1983,Coalinga-14th,4.89, Reverse,7.97,286.41,1.02,0.6,7.3,0.2,475
32,gm002,CMS0.2s_475years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),493,Drama_ Greece,1985,Drama,5.2, Normal Oblique,11.61,324.55,2.52,3.0,5.6,0.2,475
33,gm003,CMS0.2s_475years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),562,Chalfant Valley-04,1986,Bishop,5.44, strike slip,23.99,303.47,1.33,3.6,16.2,0.2,475
34,gm004,CMS0.2s_475years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1670,Northridge-03,1994,Newhall - Fire Sta,5.2, Reverse,7.65,269.14,1.4,3.6,7.4,0.2,475
35,gm005,CMS0.2s_475years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1706,Northridge-06,1994,LA - Baldwin Hills,5.28, Reverse,23.94,297.07,2.79,7.3,14.9,0.2,475
36,gm006,CMS0.2s_475years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),8623,40204628,2007,San Jose,5.45, strike slip,17.66,282.81,2.13,5.6,13.0,0.2,475
37,gm007,CMS0.2s_475years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),8654,40204628,2007,Sunnyvale,5.45, strike slip,21.87,348.66,3.13,10.8,26.5,0.2,475
38,gm008,CMS0.2s_475years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10846,14312160,2007,Northridge,4.66, Reverse,8.44,308.76,2.99,2.7,11.3,0.2,475
39,gm009,CMS0.2s_475years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10852,14312160,2007,Newhall - Fire Sta,4.66, Reverse,11.52,269.14,2.06,1.4,5.0,0.2,475
40,gm0010,CMS0.2s_475years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12055,14116972,2005,San Bernardino,4.42, strike slip,8.48,251.443,3.71,2.7,6.1,0.2,475
41,gm001,CMS0.2s_975years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),257,Mammoth Lakes-08,1980,Cashbaugh (CBR),4.8, strike slip,9.64,337.6,2.01,3.5,10.9,0.2,975
42,gm002,CMS0.2s_975years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),311,Taiwan SMART1(5),1981,SMART1 O01,5.9, Reverse,28.31,267.67,1.87,3.8,13.7,0.2,975
43,gm003,CMS0.2s_975years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),396,Coalinga-04,1983,Burnett Construction,5.18, Reverse,14.79,352.2,1.61,4.5,8.8,0.2,975
44,gm004,CMS0.2s_975years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),543,Chalfant Valley-01,1986,Benton,5.77, strike slip,24.33,370.94,2.97,5.7,18.5,0.2,975
45,gm005,CMS0.2s_975years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1681,Northridge-04,1994,Moorpark - Fire Sta,5.93, Reverse Oblique,15.43,341.58,1.8,3.5,10.0,0.2,975
46,gm006,CMS0.2s_975years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3561,Taiwan SMART1(5),1981,SMART1 M02,5.9, Reverse,27.12,306.78,1.33,3.2,11.5,0.2,975
47,gm007,CMS0.2s_975years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3628,Taiwan SMART1(33),1985,SMART1 O04,5.8, Normal,39.75,288.24,2.92,6.6,11.4,0.2,975
48,gm008,CMS0.2s_975years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3731,Whittier Narrows-02,1987,Pacoima Kagel,5.27, Reverse Oblique,36.79,323.76,3.09,4.8,9.5,0.2,975
49,gm009,CMS0.2s_975years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),8771,14383980,2008,Barre Substation,5.39, Reverse Oblique,26.25,265.59,1.76,9.9,22.28,0.2,975
50,gm0010,CMS0.2s_975years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9552,10410337,2009,Los Angeles,4.7, strike slip,12.71,248.85,2.54,0.6,8.5,0.2,975
51,gm001,CMS0.2s_2475years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),314,Westmorland,1981,Brawley Airport,5.9, strike slip,15.41,208.71,2.6,3.6,8.8,0.2,2475
52,gm002,CMS0.2s_2475years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),499,Hollister,1986,Hollister Differential,5.45, strike slip,14.11,215.54,3.19,8.4,20.6,0.2,2475
53,gm003,CMS0.2s_2475years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),627,Whittier Narrows,1987,LA - Baldwin Hills,5.99, Reverse Oblique,25.94,297.07,1.94,3.9,14.4,0.2,2475
54,gm004,CMS0.2s_2475years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),695,Whittier Narrows,1987,Sun Valley - Roscoe Blvd,5.99, Reverse Oblique,34.99,320.93,1.34,2.9,8.8,0.2,2475
55,gm005,CMS0.2s_2475years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),930,Big Bear,1992,San Bernardino,6.46, strike slip,33.79,325.83,2.45,11.7,22.0,0.2,2475
56,gm006,CMS0.2s_2475years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),947,Northridge,1994,Arcadia - Arcadia,6.69, Reverse,39.73,330.5,3.32,9.8,17.8,0.2,2475
57,gm007,CMS0.2s_2475years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1750,Northwest China,1997,Jiashi,5.93, Normal,37.26,240.09,1.3,3.4,17.6,0.2,2475
58,gm008,CMS0.2s_2475years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3572,Taiwan,1981,SMART1 O03,5.9, Reverse,26.55,278.32,1.51,2.4,11.9,0.2,2475
59,gm009,CMS0.2s_2475years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4276,Friuli Italy,1976,Buia,5.5, Reverse,12.39,310.68,3.38,3.4,7.9,0.2,2475
60,gm0010,CMS0.2s_2475years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),8660,40204628,2007,Santa Clara,5.45, strike slip,19.49,273.32,3.94,6.0,19.7,0.2,2475
61,gm001,CMS0.2s_5000years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),96,Managua_ Nicaragua-02,1972,Managua,5.2, strike slip,4.98,288.77,1.71,2.8,8.1,0.2,5000
62,gm002,CMS0.2s_5000years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),149,Coyote Lake,1979,Gilroy Array #4,5.74, strike slip,5.7,221.78,2.18,11.0,,0.2,5000
63,gm003,CMS0.2s_5000years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),191,Imperial Valley-06,1979,Victoria,6.53, strike slip,31.92,242.05,2.1,11.3,34.3,0.2,5000
64,gm004,CMS0.2s_5000years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),367,Coalinga-01,1983,Pleasant Valley,6.36, Reverse,8.41,257.38,1.59,5.3,11.6,0.2,5000
65,gm005,CMS0.2s_5000years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),406,Coalinga-05,1983,Coalinga-14th & Elm (Old CHP),5.77, Reverse,10.78,286.41,1.11,8.5,,0.2,5000
66,gm006,CMS0.2s_5000years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),629,Whittier Narrows-01,1987,LA - Century City,5.99, Reverse Oblique,29.89,277.98,2.73,6.3,17.0,0.2,5000
67,gm007,CMS0.2s_5000years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),992,Northridge-01,1994,LA Vernon Ave,6.69, Reverse,36.75,283.14,1.97,8.4,15.5,0.2,5000
68,gm008,CMS0.2s_5000years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1707,Northridge-06,1994,LA - Century City,5.28, Reverse,19.72,277.98,3.33,3.9,8.7,0.2,5000
69,gm009,CMS0.2s_5000years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1752,Northwest China-03,1997,Jiashi,6.1, Normal,17.73,240.09,1.32,3.0,13.5,0.2,5000
70,gm0010,CMS0.2s_5000years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4120,Parkfield-02_ CA,2004,Parkfield - Gold Hill,6.0, strike slip,3.38,290.5,2.17,6.4,12.5,0.2,5000
71,gm001,CMS0.3s_43years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),13201,10223765,2006,La Quinta,4.11, strike slip,26.09,360.32,3.91,6.7,15.3,0.3,43
72,gm002,CMS0.3s_43years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),14108,21549695,2006,Ramage Ranch,3.8, strike slip,12.02,300.0,2.94,3.5,7.5,0.3,43
73,gm003,CMS0.3s_43years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),14179,9968525,2003,Los Alamos County Park,3.69, strike slip,22.35,259.0,3.41,9.9,19.8,0.3,43
74,gm004,CMS0.3s_43years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),14924,21549979,2006,Hollister,3.7, strike slip,6.93,288.67,1.49,4.4,9.4,0.3,43
75,gm005,CMS0.3s_43years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),15189,14239184,2006,Riverside Surface,3.9, Normal Oblique,25.62,360.0,3.87,1.1,4.9,0.3,43
76,gm006,CMS0.3s_43years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),15261,10249565,2007,Colton,3.86, strike slip,18.58,267.92,2.46,1.8,7.3,0.3,43
77,gm007,CMS0.3s_43years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18436,21423530,2004,Parkfield,4.17, strike slip,30.94,173.02,2.19,4.7,14.2,0.3,43
78,gm008,CMS0.3s_43years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18437,21423530,2004,Parkfield,4.17, strike slip,27.98,178.27,1.67,6.8,16.5,0.3,43
79,gm009,CMS0.3s_43years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18789,71336726,2010,Lake Pillsbury,4.05, strike slip,27.36,260.4,3.36,6.1,15.0,0.3,43
80,gm0010,CMS0.3s_43years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),21503,51177103,2006,San Francisco,3.6, strike slip,18.66,238.66,2.9,0.5,2.1,0.3,43
81,gm001,CMS0.3s_100years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12574,51207740,2008,Alameda,4.1, strike slip,28.59,207.92,2.67,2.6,8.9,0.3,100
82,gm002,CMS0.3s_100years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12837,14073800,2004,Cactus City,4.02, strike slip,14.52,370.0,2.81,2.7,5.5,0.3,100
83,gm003,CMS0.3s_100years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12991,21305648,2003,Albany,4.0, strike slip,12.13,299.37,2.38,1.9,4.0,0.3,100
84,gm004,CMS0.3s_100years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),14924,21549979,2006,Hollister,3.7, strike slip,6.93,288.67,2.66,4.4,9.4,0.3,100
85,gm005,CMS0.3s_100years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18436,21423530,2004,Parkfield,4.17, strike slip,30.94,173.02,3.91,4.7,14.2,0.3,100
86,gm006,CMS0.3s_100years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18495,51182151,2007,Parkfield,4.01, strike slip,15.07,308.87,3.49,3.3,6.2,0.3,100
87,gm007,CMS0.3s_100years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18503,51182151,2007,Parkfield,4.01, strike slip,8.8,308.84,1.73,1.9,4.4,0.3,100
88,gm008,CMS0.3s_100years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18760,71336726,2010,Mountain View,4.05, strike slip,26.73,286.85,2.57,0.6,3.7,0.3,100
89,gm009,CMS0.3s_100years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),18917,71337451,2010,Longford,3.73, Reverse Oblique,14.44,290.17,3.8,2.4,4.7,0.3,100
90,gm0010,CMS0.3s_100years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),21410,51207740,2008,San Leandro Hills,4.1, strike slip,22.17,378.0,1.33,4.1,5.8,0.3,100
91,gm001,CMS0.3s_225years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),99,Hollister-03,1974,Hollister City Hall,5.14, strike slip,9.39,198.77,0.66,3.6,10.9,0.3,225
92,gm002,CMS0.3s_225years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),111,Oroville-04,1975,Up & Down Cafe,4.37, Normal Oblique,12.18,377.25,3.16,2.6,5.9,0.3,225
93,gm003,CMS0.3s_225years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),197,Imperial Valley-07,1979,El Centro Array,5.01, strike slip,24.84,237.33,2.29,2.3,5.3,0.3,225
94,gm004,CMS0.3s_225years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),204,Imperial Valley-07,1979,El Centro Array,5.01, strike slip,10.37,203.22,0.41,1.0,6.5,0.3,225
95,gm005,CMS0.3s_225years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),252,Mammoth Lakes-07,1980,Green Church,4.73, strike slip,5.17,353.2,0.59,1.4,8.2,0.3,225
96,gm006,CMS0.3s_225years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),396,Coalinga-04,1983,Burnett Construction,5.18, Reverse,14.79,352.2,0.78,4.5,8.8,0.3,225
97,gm007,CMS0.3s_225years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),6111,Yorba Linda,2002,Pomona,4.265, strike slip,16.8,368.88,3.01,4.2,9.9,0.3,225
98,gm008,CMS0.3s_225years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9590,10410337,2009,Long Beach,4.7, strike slip,18.89,270.56,0.8,1.0,3.4,0.3,225
99,gm009,CMS0.3s_225years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10845,14312160,2007,Santa Monica,4.66, Reverse,32.44,367.76,2.09,0.8,3.8,0.3,225
100,gm0010,CMS0.3s_225years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10871,14312160,2007,Piru - Church St,4.66, Reverse,19.83,371.58,3.92,3.6,11.0,0.3,225
101,gm001,CMS0.3s_475years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),204,Imperial Valley-07,1979,El Centro Array #6,5.01, strike slip,10.37,203.22,0.66,1.0,6.5,0.3,475
102,gm002,CMS0.3s_475years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),229,Anza (Horse Canyon)-01,1980,Rancho De Anza,5.19, strike slip,21.32,329.0,2.35,3.3,5.4,0.3,475
103,gm003,CMS0.3s_475years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),396,Coalinga-04,1983,Burnett Construction,5.18, Reverse,14.79,352.2,1.27,4.5,8.8,0.3,475
104,gm004,CMS0.3s_475years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),556,Chalfant Valley-02,1986,McGee Creek,6.19, strike slip,30.11,359.23,3.52,7.0,11.5,0.3,475
105,gm005,CMS0.3s_475years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),617,Whittier Narrows-01,1987,Featherly Park - Maint,5.99, Reverse Oblique,37.92,367.54,1.13,3.9,9.2,0.3,475
106,gm006,CMS0.3s_475years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1674,Northridge-03,1994,Tarzana - Cedar Hill A,5.2, Reverse,19.89,257.21,2.04,12.2,13.0,0.3,475
107,gm007,CMS0.3s_475years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3565,Taiwan SMART1(5),1981,SMART1 M06,5.9, Reverse,25.61,308.39,1.28,3.5,13.9,0.3,475
108,gm008,CMS0.3s_475years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4259,Ancona-09_ Italy,1972,Ancona-Palombina,4.7, strike slip,13.16,256.0,2.03,4.7,11.6,0.3,475
109,gm009,CMS0.3s_475years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9831,51182810,2007,Mammoth Lakes,4.6, strike slip,19.38,317.0,2.12,3.9,9.8,0.3,475
110,gm0010,CMS0.3s_475years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10845,14312160,2007,Santa Monica,4.66, Reverse,32.44,367.76,3.42,0.8,3.8,0.3,475
111,gm001,CMS0.3s_975years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),149,Coyote Lake,1979,Gilroy Array #4,5.74, strike slip,5.7,221.78,0.88,5.0,11.0,0.3,975
112,gm002,CMS0.3s_975years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),617,Whittier Narrows-01,1987,Featherly Park,5.99, Reverse Oblique,37.92,367.54,1.73,3.9,9.2,0.3,975
113,gm003,CMS0.3s_975years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1644,Sierra Madre,1991,Obregon Park,5.61, Reverse,27.4,349.43,0.89,2.1,8.8,0.3,975
114,gm004,CMS0.3s_975years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1674,Northridge-03,1994,Tarzana - Cedar Hill A,5.2, Reverse,19.89,257.21,3.12,12.2,13.0,0.3,975
